game_id,attr,val
177656591,ranked_status,1
178332484,player0,diggs
178332484,game_outcome,1
178332484,ranked_status,0
178332992,player0,loui8sdstk
178332992,player1,diggs
178332992,game_outcome,1
178332992,ranked_status,0
178348181,player0,skandaras
178348181,player1,diggs
178348181,player2,loui8sdstk
178348181,player3,menelaus34
178348181,player4,bumster
178348181,game_outcome,0
178348181,ranked_status,1
178353228,player0,diggs
178353228,player1,bumster
178353228,player2,menelaus34
178353228,player3,loui8sdstk
178353228,game_outcome,1
178353228,ranked_status,1
181264650,player0,diggs
181264650,game_outcome,0
181264650,ranked_status,0
181274912,player0,diggs
181274912,game_outcome,1
181274912,ranked_status,0
185106561,player0,diggs
185106561,game_outcome,1
185106561,ranked_status,0
186519374,player0,bumster
186519374,player1,diggs
186519374,game_outcome,0
186519374,ranked_status,1
187726478,player0,loui8sdstk
187726478,player1,mwaxy
187726478,player2,skandaras
187726478,player3,diggs
187726478,game_outcome,0
187726478,ranked_status,1
187727153,player0,loui8sdstk
187727153,player1,mwaxy
187727153,player2,skandaras
187727153,player3,diggs
187727153,player4,muncheroo
187727153,game_outcome,1
187727153,ranked_status,1
187738737,player0,mwaxy
187738737,player1,skandaras
187738737,player2,diggs
187738737,player3,muncheroo
187738737,player4,shaarcer
187738737,game_outcome,0
187738737,ranked_status,1
187739887,player0,mwaxy
187739887,player1,skandaras
187739887,player2,diggs
187739887,player3,muncheroo
187739887,player4,shaarcer
187739887,game_outcome,0
187739887,ranked_status,1
187754556,player0,loui8sdstk
187754556,player1,mwaxy
187754556,player2,diggs
187754556,player3,shaarcer
187754556,game_outcome,0
187754556,ranked_status,1
187756120,player0,loui8sdstk
187756120,player1,mwaxy
187756120,player2,diggs
187756120,player3,shaarcer
187756120,game_outcome,1
187756120,ranked_status,1
187768269,player0,loui8sdstk
187768269,player1,diggs
187768269,player2,endgamedos
187768269,player3,muncheroo
187768269,game_outcome,0
187768269,ranked_status,1
187822267,player0,mwaxy
187822267,player1,diggs
187822267,player2,endgamedos
187822267,player3,muncheroo
187822267,player4,shaarcer
187822267,game_outcome,1
187822267,ranked_status,1
187830327,player0,diggs
187830327,player1,endgamedos
187830327,player2,muncheroo
187830327,player3,shaarcer
187830327,game_outcome,0
187830327,ranked_status,1
187904960,player0,loui8sdstk
187904960,player1,skandaras
187904960,player2,diggs
187904960,game_outcome,0
187904960,ranked_status,0
187912407,player0,skandaras
187912407,player1,diggs
187912407,game_outcome,0
187912407,ranked_status,0
188554063,player0,skandaras
188554063,player1,diggs
188554063,game_outcome,0
188554063,ranked_status,0
197429568,player0,dicedstk
197429568,player1,diggs
197429568,player2,menelaus34
197429568,game_outcome,0
197429568,ranked_status,1
197849930,player0,loui8sdstk
197849930,player1,diggs
197849930,game_outcome,1
197849930,ranked_status,1
197858340,player0,loui8sdstk
197858340,player1,diggs
197858340,game_outcome,1
197858340,ranked_status,1
197870767,player0,loui8sdstk
197870767,player1,diggs
197870767,game_outcome,1
197870767,ranked_status,1
197872702,player0,loui8sdstk
197872702,player1,diggs
197872702,player2,menelaus34
197872702,game_outcome,1
197872702,ranked_status,1
197965341,player0,diggs
197965341,game_outcome,0
197965341,ranked_status,1
197966619,player0,diggs
197966619,player1,menelaus34
197966619,game_outcome,0
197966619,ranked_status,1
197977692,player0,diggs
197977692,player1,menelaus34
197977692,game_outcome,1
197977692,ranked_status,1
197978064,player0,diggs
197978064,player1,menelaus34
197978064,game_outcome,1
197978064,ranked_status,1
197978335,player0,diggs
197978335,player1,menelaus34
197978335,game_outcome,1
197978335,ranked_status,1
198051850,player0,diggs
198051850,game_outcome,0
198051850,ranked_status,0
198052902,player0,diggs
198052902,game_outcome,0
198052902,ranked_status,0
198055289,player0,mwaxy
198055289,player1,diggs
198055289,player2,menelaus34
198055289,game_outcome,1
198055289,ranked_status,1
198056757,player0,mwaxy
198056757,player1,diggs
198056757,player2,menelaus34
198056757,game_outcome,0
198056757,ranked_status,1
198443546,player0,loui8sdstk
198443546,player1,skandaras
198443546,player2,dicedstk
198443546,player3,diggs
198443546,game_outcome,1
198443546,ranked_status,1
143979027,player0,loui8sdstk
143979027,player1,endgamedos
143979027,player2,bumster
143979027,game_outcome,1
143979027,ranked_status,0
143979582,player0,loui8sdstk
143979582,player1,endgamedos
143979582,player2,bumster
143979582,game_outcome,1
143979582,ranked_status,0
146138968,player0,skandaras
146138968,player1,dicedstk
146138968,player2,endgamedos
146138968,player3,diggs
146138968,game_outcome,0
146138968,ranked_status,1
179587960,player0,skandaras
179587960,player1,loui8sdstk
179587960,player2,endgamedos
179587960,game_outcome,1
179587960,ranked_status,1
179597030,player0,skandaras
179597030,player1,endgamedos
179597030,game_outcome,1
179597030,ranked_status,1
180383990,player0,endgamedos
180383990,game_outcome,1
180383990,ranked_status,1
180385412,player0,bumster
180385412,player1,endgamedos
180385412,game_outcome,1
180385412,ranked_status,1
181181366,player0,endgamedos
181181366,game_outcome,0
181181366,ranked_status,1
182920927,player0,endgamedos
182920927,game_outcome,0
182920927,ranked_status,1
182921485,player0,endgamedos
182921485,game_outcome,0
182921485,ranked_status,1
182923520,player0,endgamedos
182923520,game_outcome,0
182923520,ranked_status,1
182969031,player0,endgamedos
182969031,game_outcome,1
182969031,ranked_status,1
182976323,player0,endgamedos
182976323,game_outcome,0
182976323,ranked_status,1
182986669,player0,endgamedos
182986669,game_outcome,1
182986669,ranked_status,1
183141061,player0,endgamedos
183141061,game_outcome,1
183141061,ranked_status,1
183154617,player0,endgamedos
183154617,game_outcome,1
183154617,ranked_status,1
183599965,player0,endgamedos
183599965,game_outcome,1
183599965,ranked_status,1
183643711,player0,endgamedos
183643711,game_outcome,1
183643711,ranked_status,1
183647320,player0,endgamedos
183647320,game_outcome,1
183647320,ranked_status,1
183647434,player0,endgamedos
183647434,game_outcome,1
183647434,ranked_status,1
183647898,player0,endgamedos
183647898,game_outcome,1
183647898,ranked_status,1
183751060,player0,endgamedos
183751060,game_outcome,1
183751060,ranked_status,1
183751289,player0,endgamedos
183751289,game_outcome,1
183751289,ranked_status,1
183756648,player0,endgamedos
183756648,game_outcome,1
183756648,ranked_status,1
183764585,player0,endgamedos
183764585,game_outcome,0
183764585,ranked_status,1
183767024,player0,bumster
183767024,player1,endgamedos
183767024,game_outcome,0
183767024,ranked_status,1
184064490,player0,endgamedos
184064490,game_outcome,0
184064490,ranked_status,1
184070670,player0,endgamedos
184070670,game_outcome,1
184070670,ranked_status,1
184083681,player0,endgamedos
184083681,game_outcome,0
184083681,ranked_status,1
184089853,player0,endgamedos
184089853,game_outcome,0
184089853,ranked_status,1
184090476,player0,endgamedos
184090476,game_outcome,1
184090476,ranked_status,1
184090908,player0,endgamedos
184090908,game_outcome,1
184090908,ranked_status,1
184281719,player0,endgamedos
184281719,game_outcome,0
184281719,ranked_status,1
184354402,player0,endgamedos
184354402,game_outcome,1
184354402,ranked_status,1
184366467,player0,endgamedos
184366467,game_outcome,1
184366467,ranked_status,1
184366775,player0,endgamedos
184366775,game_outcome,1
184366775,ranked_status,1
184367194,player0,endgamedos
184367194,game_outcome,1
184367194,ranked_status,1
184376203,player0,endgamedos
184376203,game_outcome,0
184376203,ranked_status,1
184395634,player0,endgamedos
184395634,game_outcome,1
184395634,ranked_status,1
184434457,player0,endgamedos
184434457,game_outcome,1
184434457,ranked_status,1
184574381,player0,endgamedos
184574381,game_outcome,1
184574381,ranked_status,1
184719672,player0,endgamedos
184719672,game_outcome,0
184719672,ranked_status,1
184722750,player0,endgamedos
184722750,game_outcome,1
184722750,ranked_status,1
184730755,player0,endgamedos
184730755,game_outcome,1
184730755,ranked_status,1
186433298,player0,endgamedos
186433298,game_outcome,1
186433298,ranked_status,1
186434142,player0,bumster
186434142,player1,endgamedos
186434142,game_outcome,1
186434142,ranked_status,1
186435177,player0,bumster
186435177,player1,endgamedos
186435177,game_outcome,0
186435177,ranked_status,1
186523667,player0,endgamedos
186523667,game_outcome,0
186523667,ranked_status,1
186524665,player0,endgamedos
186524665,game_outcome,1
186524665,ranked_status,1
186715749,player0,endgamedos
186715749,game_outcome,0
186715749,ranked_status,1
186721921,player0,endgamedos
186721921,game_outcome,1
186721921,ranked_status,1
186947844,player0,endgamedos
186947844,game_outcome,1
186947844,ranked_status,1
186952100,player0,endgamedos
186952100,game_outcome,0
186952100,ranked_status,1
186953408,player0,endgamedos
186953408,game_outcome,1
186953408,ranked_status,1
188428721,player0,endgamedos
188428721,game_outcome,0
188428721,ranked_status,1
188434268,player0,endgamedos
188434268,game_outcome,1
188434268,ranked_status,1
188436771,player0,endgamedos
188436771,game_outcome,0
188436771,ranked_status,1
188503455,player0,endgamedos
188503455,game_outcome,0
188503455,ranked_status,1
188535369,player0,endgamedos
188535369,game_outcome,1
188535369,ranked_status,1
188544465,player0,endgamedos
188544465,game_outcome,1
188544465,ranked_status,1
188544801,player0,endgamedos
188544801,game_outcome,0
188544801,ranked_status,1
188628447,player0,endgamedos
188628447,game_outcome,0
188628447,ranked_status,1
188650083,player0,endgamedos
188650083,game_outcome,1
188650083,ranked_status,1
188824489,player0,endgamedos
188824489,game_outcome,1
188824489,ranked_status,1
188902794,player0,endgamedos
188902794,game_outcome,1
188902794,ranked_status,1
189079385,player0,endgamedos
189079385,game_outcome,1
189079385,ranked_status,1
189081391,player0,endgamedos
189081391,game_outcome,0
189081391,ranked_status,1
189092910,player0,endgamedos
189092910,game_outcome,0
189092910,ranked_status,1
189094764,player0,endgamedos
189094764,game_outcome,1
